# cellgrid v1
# source=eia-aer-2011-t3-1 | pdf_page=1 | dims=45x10 | header_rows=2
# values=as-printed | companion=stb0301.xls (EIA AER 2011 full annual series; PDF=selected-years subset)
# model=Year + {Coal,NaturalGas,CrudeOil,FossilFuelComposite}x{Nominal,Real} + PercentChange (10 cols). Two-tier header (rule 4): group label in leftmost spanned col, sub-col empty; Year & Percent Change span both header rows -> text in TOP row, leaf row empty. R-prefix is Revised; 2011P is Preliminary; (s) is magnitude under 0.05 percent; en-dash pair (1949 Percent Change) is Not applicable, render-only/companion-confirmed.
Year	Coal [1]		Natural Gas [2]		Crude Oil [3]		Fossil Fuel Composite [4]		Percent Change [7]
	Nominal [5]	Real [6]	Nominal [5]	Real [6]	Nominal [5]	Real [6]	Nominal [5]	Real [6]	
1949	0.21	1.45	0.05	0.37	0.44	3.02	0.26	1.81	– –
1950	.21	1.41	.06	.43	.43	R2.95	.26	1.74	-3.6
1955	.19	1.12	.09	.54	.48	2.88	.27	R1.63	-3.6
1960	.19	1.04	.13	.68	.50	2.67	.28	1.52	-2.3
1965	.18	.92	.15	.73	.49	R2.47	.28	1.39	-1.5
1970	.27	1.09	.15	.63	.55	R2.25	.32	1.31	.8
1975	.85	2.52	.40	1.20	1.32	3.94	.82	2.45	10.9
1976	.86	2.41	.53	R1.49	1.41	3.98	.90	2.54	3.8
1977	.88	2.34	.72	R1.91	1.48	3.91	1.01	2.67	5.1
1978	.98	2.43	.84	2.07	1.55	3.84	1.12	2.76	3.4
1979	1.06	R2.41	1.08	2.47	2.18	4.98	1.42	R3.23	17.3
1980	1.10	2.30	1.45	3.03	3.72	R7.79	2.04	R4.27	32.1
1981	1.18	R2.26	1.80	R3.43	5.48	R10.48	R2.74	R5.25	22.9
1982	1.23	2.21	2.22	4.01	4.92	8.87	2.76	R4.97	-5.3
1983	1.18	R2.04	2.32	4.03	4.52	R7.83	2.70	R4.68	-5.8
1984	1.16	1.95	2.40	4.01	4.46	R7.46	2.65	R4.42	-5.6
1985	1.15	1.87	2.26	R3.66	4.15	R6.74	2.51	4.08	-7.8
1986	1.09	R1.72	1.75	R2.77	2.16	R3.42	1.65	R2.62	-35.6
1987	1.05	R1.62	1.50	2.32	2.66	4.10	1.70	R2.62	(s)
1988	1.01	1.51	1.52	R2.27	2.17	3.24	1.53	2.29	-12.8
1989	1.00	1.44	1.53	R2.19	2.73	3.93	1.67	2.40	5.0
1990	1.00	1.38	1.55	2.14	3.45	4.78	1.84	2.55	6.2
1991	.99	R1.32	1.48	1.98	2.85	R3.81	1.67	2.23	-12.5
1992	.97	1.27	1.57	2.05	2.76	3.60	1.66	R2.16	-3.1
1993	.93	R1.18	1.84	2.36	2.46	3.14	1.67	2.13	-1.4
1994	.91	R1.13	1.67	R2.09	2.27	R2.84	1.53	1.91	-10.4
1995	.88	1.08	1.40	1.72	2.52	3.09	1.47	R1.80	-5.5
1996	.87	1.04	1.96	R2.35	3.18	3.83	1.82	2.19	21.3
1997	.85	1.01	2.10	2.48	2.97	3.51	1.81	R2.13	-2.5
1998	.83	R.96	1.77	2.07	1.87	2.19	1.41	1.65	-22.8
1999	.79	.91	1.98	2.28	2.68	3.09	1.65	1.90	15.4
2000	.80	.90	3.32	3.75	4.61	R5.19	2.60	2.93	54.2
2001	.84	.92	3.62	3.99	3.77	4.15	2.53	2.79	-4.8
2002	.87	.94	2.67	2.90	3.88	4.21	2.21	2.40	-14.1
2003	.87	.93	R4.42	R4.70	4.75	5.05	R3.10	3.29	R37.2
2004	.98	1.01	4.95	5.11	6.34	6.55	3.61	3.73	R13.4
2005	1.16	1.16	6.64	6.64	8.67	8.67	4.74	4.74	R27.0
2006	1.24	1.20	5.79	5.61	10.29	9.97	4.73	4.58	-3.3
2007	1.29	1.21	R5.67	R5.34	11.47	R10.80	4.95	R4.66	R1.8
2008	1.55	1.42	7.25	6.67	16.21	14.93	6.52	6.01	R28.9
2009	1.67	1.52	3.33	3.04	9.72	R8.85	3.97	3.62	-39.7
2010	1.77	R1.59	R4.08	R3.68	12.88	R11.61	R4.96	R4.47	R23.4
2011P	1.83	1.62	3.60	3.18	16.51	14.56	5.50	4.85	8.7
