# cellgrid v1
# source=irs-soi-inpre-t1-2022 | pdf_page=1 | dims=51x6 | header_rows=3
# values=as-printed | companion=22in01pl.xls (sheet "TAB1", rows 57-104)
# title=Table 1 ... Selected Income and Tax Items, by Size of Adjusted Gross Income-Continued (page title above grid, excluded); "Footnotes at end of table." footer below grid excluded
# model=split-column page-FACE: PDF page 6 (printed p.8) of the 26-page Spring-2024 SOI Bulletin shows cols 1-5 of an 11-col table (item label + TY2021 + TY2022 + Percent difference + first 2 of 7 AGI brackets); cols 6-10 are on the facing page 7. Rect-bordered (filled-rect hairline rules). Item labels stored TRIMMED (the 4-level indentation is positional layout, not cell content; matches GoPDF lattice which emits no leading whitespace). 3-tier rule-4 header: a spanning label sits in its leftmost spanned col, the rest empty (All returns over cols 1-3 -> col1; Tax year 2022 by size of AGI over cols 4-5 -> col4; Item spans the 3 header tiers -> top tier). DATA = the 32 numeric rows x 5 numeric cols = 160 cells (the primary gate); the 16 section-label rows have empty numeric cells by design and are NOT in the gate. Asterisk small-sample markers kept as-printed (* 5,178 / * 74,284, Moving expenses col 4), added at publication, absent from the .xls. Footnote markers kept as-printed (Under $15,000 [1]). Negatives as-printed (-65,622,639).
# known-ceiling: multi-line wrapped section label @ r28c1
Item	All returns			Tax year 2022, by size of adjusted gross income	
	Tax year 2021	Tax year 2022	Percent difference	Under $15,000 [1]	$15,000 under $30,000
	(1)	(2)	(3)	(4)	(5)
Partnership and S corporation net income less loss:					
Number of returns	9,206,813	9,492,923	3.1	760,088	495,215
Amount	958,311,890	1,016,960,119	6.1	-65,622,639	786,764
Estate and trust net income less loss:					
Number of returns	664,373	659,458	-0.7	38,797	35,728
Amount	51,476,361	48,097,607	-6.6	-754,342	211,287
Farm net income (Schedule F):					
Number of returns	452,295	510,620	12.9	88,680	53,175
Amount	13,618,034	17,213,307	26.4	912,405	673,766
Farm net loss (Schedule F):					
Number of returns	1,259,894	1,260,784	0.1	195,949	106,399
Amount	38,823,924	41,934,270	8.0	8,814,080	2,917,375
Unemployment compensation:					
Number of returns	15,590,254	4,664,467	-70.1	487,865	896,220
Amount	205,860,733	29,554,131	-85.6	2,467,230	5,812,502
Taxable Social Security benefits:					
Number of returns	23,805,882	25,185,499	5.8	489,540	3,540,236
Amount	413,476,369	471,016,833	13.9	887,009	10,756,019
Total statutory adjustments:					
Number of returns	32,884,241	33,900,349	3.1	6,030,839	4,858,432
Amount	144,239,288	148,902,680	3.2	11,035,094	9,280,883
Educator expenses:					
Number of returns	3,148,801	3,705,123	17.7	82,142	212,374
Amount	835,973	1,114,143	33.3	21,629	57,180
Certain business expenses of reservists, performing artists, and fee-basis government officials:					
Number of returns	277,228	287,281	3.6	26,280	41,117
Amount	2,139,749	2,554,451	19.4	654,472	330,489
Payments to an Individual Retirement Arrangement:					
Number of returns	2,431,206	2,427,438	-0.2	100,356	201,870
Amount	13,791,451	13,150,543	-4.6	390,557	794,212
Student loan interest deduction:					
Number of returns	4,936,946	3,927,971	-20.4	247,698	338,928
Amount	4,293,753	3,807,468	-11.3	259,107	369,518
Health savings account deduction:					
Number of returns	1,948,063	2,053,179	5.4	32,500	89,855
Amount	5,989,891	6,138,607	2.5	83,438	172,352
Moving expenses adjustment:					
Number of returns	97,857	113,829	16.3	* 5,178	19,917
Amount	288,101	336,022	16.6	* 74,284	39,153
Self-employment tax deduction:					
Number of returns	21,828,479	22,587,640	3.5	5,553,418	4,035,950
Amount	39,132,833	41,096,767	5.0	3,191,588	4,473,597
Self-employed health insurance deduction:					
Number of returns	3,692,457	3,689,046	-0.1	356,780	284,151
Amount	30,936,542	31,360,568	1.4	1,421,619	973,062
Payments to a self-employed retirement (Keogh) plan:					
Number of returns	1,007,146	951,097	-5.6	13,543	9,595
Amount	29,128,291	28,934,676	-0.7	248,917	91,426
